experiment,seed,epoch,train_loss,val_loss,val_auroc,val_accuracy,val_balanced_accuracy,lr,seed_model_name
voxel_clean,42,1,0.6435989567211696,1.10975115497907,0.8394298009682626,0.8848167539267016,0.5,0.001,voxel_clean_seed42
voxel_clean,42,2,0.5773197071892875,1.3347863455613453,0.8192576654115116,0.8848167539267016,0.5,0.001,voxel_clean_seed42
voxel_clean,42,3,0.4639056693939936,0.5886093775431315,0.85691231845078,0.7225130890052356,0.7838891877353416,0.001,voxel_clean_seed42
voxel_clean,42,4,0.39136096835136414,0.6600947479406992,0.8940290478752017,0.9057591623036649,0.5909090909090909,0.001,voxel_clean_seed42
voxel_clean,42,5,0.31596192433720544,0.5563866893450419,0.8227541689080151,0.8952879581151832,0.7629101667563206,0.001,voxel_clean_seed42
voxel_clean,42,6,0.2720268915096919,1.7346635063489277,0.868477676169984,0.32460732984293195,0.5985745024206562,0.001,voxel_clean_seed42
voxel_clean,42,7,0.23679583555176145,0.646664947271347,0.8041958041958043,0.900523560209424,0.6472565895642819,0.0005,voxel_clean_seed42
voxel_clean,42,8,0.18147886650902884,0.600813647111257,0.8555675094136632,0.806282722513089,0.7916890801506187,0.0005,voxel_clean_seed42
voxel_clean,42,9,0.1733484481062208,0.7174684604008993,0.8316299085529855,0.9214659685863874,0.6590909090909091,0.0005,voxel_clean_seed42
voxel_clean,42,10,0.17067699418181465,1.6230016549428303,0.8743948359332974,0.4869109947643979,0.6705217859064012,0.00025,voxel_clean_seed42
voxel_robust,42,1,0.6655944585800171,0.9568246404329935,0.814147391070468,0.8848167539267016,0.5,0.001,voxel_robust_seed42
voxel_robust,42,2,0.6073141098022461,0.7397547165552775,0.8219472834857451,0.8848167539267016,0.5,0.001,voxel_robust_seed42
voxel_robust,42,3,0.5688930324145726,0.5643265843391418,0.8039268423883809,0.8219895287958116,0.5831091984938139,0.001,voxel_robust_seed42
voxel_robust,42,4,0.5378486201876685,0.6368107795715332,0.8630984400215169,0.6596858638743456,0.7681549220010758,0.001,voxel_robust_seed42
voxel_robust,42,5,0.5004166393052965,0.8301925162474314,0.8257127487896719,0.5497382198952879,0.7257934373318988,0.001,voxel_robust_seed42
voxel_robust,42,6,0.5199218832311177,0.967208464940389,0.6350188273265197,0.8848167539267016,0.5197686928456159,0.001,voxel_robust_seed42
voxel_robust,42,7,0.5048994478725252,1.9962531328201294,0.8703604088219472,0.19895287958115182,0.527568585260893,0.001,voxel_robust_seed42
voxel_robust,42,8,0.4755388838904245,0.8157871464888254,0.7937062937062938,0.8952879581151832,0.5652232383001614,0.001,voxel_robust_seed42
voxel_robust,42,9,0.5050766397090185,0.826439360777537,0.8270575578267886,0.8900523560209425,0.5424959655728886,0.001,voxel_robust_seed42
voxel_robust,42,10,0.4908373412631807,0.4924778342247009,0.8972565895642818,0.8219895287958116,0.820333512641205,0.001,voxel_robust_seed42
voxel_robust,42,11,0.48690376253355117,0.7605731785297394,0.9020979020979021,0.8900523560209425,0.5424959655728886,0.001,voxel_robust_seed42
voxel_robust,42,12,0.48624004352660405,2.9856929779052734,0.8687466379774073,0.18848167539267016,0.5216514254975794,0.001,voxel_robust_seed42
voxel_robust,42,13,0.4609010560171945,0.5703913668791453,0.8797740720817644,0.7539267015706806,0.7818719741796665,0.001,voxel_robust_seed42
voxel_robust,42,14,0.44055528725896564,1.3798470795154572,0.8703604088219472,0.3717277486910995,0.6252017213555675,0.0005,voxel_robust_seed42
voxel_robust,42,15,0.4124476526464735,1.2625889380772908,0.584722969338354,0.8900523560209425,0.5227272727272727,0.0005,voxel_robust_seed42
voxel_robust,42,16,0.45378871191115605,0.8149720331033071,0.8265196342119419,0.8900523560209425,0.5622646584185046,0.0005,voxel_robust_seed42
voxel_robust,42,17,0.39298016258648466,0.8306669592857361,0.8800430338891878,0.643979057591623,0.7790478752017214,0.00025,voxel_robust_seed42
point_clean_xyzI_512,42,1,0.6408819414320446,1.1178130408128102,0.7178590640129102,0.11518324607329843,0.5,0.001,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,2,0.5292744324320838,0.9194295207659403,0.8101129639591178,0.3769633507853403,0.6281603012372243,0.001,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,3,0.48785977136521114,0.5947731733322144,0.8165680473372782,0.7591623036649214,0.7452931683700914,0.001,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,4,0.43799352645874023,0.563909908135732,0.8558364712210866,0.7853403141361257,0.7798547606239914,0.001,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,5,0.40829157545453026,0.5270298918088278,0.8456159225389994,0.8586387434554974,0.7224314147391071,0.001,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,6,0.36745485237666536,0.691493550936381,0.8227541689080151,0.7329842931937173,0.7305002689618074,0.001,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,7,0.35236472813856035,0.6308049559593201,0.7966648735879505,0.8167539267015707,0.7778375470683163,0.0005,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,8,0.311542156906355,0.5116317470868429,0.9039806347498655,0.8219895287958116,0.7807961269499731,0.0005,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,9,0.3027842158362979,0.5838204622268677,0.8380849919311457,0.8324607329842932,0.7669445938676708,0.0005,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,10,0.3036879655860719,0.5407976110776266,0.8977945131791286,0.8115183246073299,0.8144163528778914,0.0005,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,11,0.2414180820896512,0.5417918960253397,0.8464228079612696,0.900523560209424,0.8251748251748252,0.00025,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,12,0.24417051176230112,0.5013912916183472,0.9026358257127488,0.8743455497382199,0.8103819257665412,0.00025,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,13,0.2101581423055558,0.5554651220639547,0.871705217859064,0.8481675392670157,0.815357719203873,0.00025,point_clean_xyzI_512_seed42
point_clean_xyzI_512,42,14,0.21735589631966182,0.5028289357821146,0.8991393222162454,0.8795811518324608,0.8331091984938139,0.000125,point_clean_xyzI_512_seed42
point_robust_xyzI_512,42,1,0.6868153555052621,0.7997898062070211,0.6780527165142549,0.11518324607329843,0.5,0.001,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,2,0.6172320672443935,0.8651625315348307,0.7329209252286175,0.4083769633507853,0.6261430876815492,0.001,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,3,0.6264707886037373,0.7346147298812866,0.7848305540613233,0.5549738219895288,0.669445938676708,0.001,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,4,0.6315479221798125,0.6154658397038778,0.771382463690156,0.7853403141361257,0.7403173749327595,0.001,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,5,0.6015456815560659,0.6251570383707682,0.756589564281872,0.7905759162303665,0.6642011834319527,0.001,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,6,0.6101297509102594,0.6429061492284139,0.7740720817643895,0.7591623036649214,0.7057557826788596,0.0005,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,7,0.5893601193314507,0.7306384245554606,0.8111888111888113,0.6387434554973822,0.7365519096288327,0.0005,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,8,0.5888661103589194,0.5565968553225199,0.8133405056481979,0.8429319371727748,0.7333243679397525,0.0005,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,9,0.5578612557479313,0.6065564254919688,0.7996234534696073,0.8010471204188482,0.6898870360408822,0.0005,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,10,0.5582831658068157,0.6082222660382589,0.7937062937062936,0.7801047120418848,0.6978214093598709,0.0005,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,11,0.5324282816478184,0.5994874536991119,0.7842926304464766,0.8324607329842932,0.7274072081764389,0.00025,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,12,0.5370168955553145,0.5869795083999634,0.819526627218935,0.7853403141361257,0.7600860677783755,0.00025,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,13,0.5198002400852385,0.5939478874206543,0.8380849919311457,0.7853403141361257,0.7798547606239914,0.00025,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,14,0.5270106863407862,0.5934428373972574,0.8262506724045187,0.7801047120418848,0.7373587950511027,0.00025,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,15,0.5134269254548209,0.5851329366366068,0.8243679397525551,0.7853403141361257,0.7403173749327595,0.00025,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,16,0.49102421459697543,0.5885883967081705,0.8267885960193653,0.8010471204188482,0.729424421732114,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,17,0.49876068461508977,0.5755548477172852,0.8302850995158687,0.806282722513089,0.7323830016137709,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,18,0.5239181802386329,0.5485245188077291,0.8496503496503496,0.837696335078534,0.7896718665949436,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,19,0.464764898731595,0.6039884289105734,0.8321678321678322,0.774869109947644,0.734400215169446,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,20,0.4838358774071648,0.5321240623792013,0.8590640129101668,0.8272251308900523,0.763986013986014,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,21,0.4750215184120905,0.5407053828239441,0.8528778913394298,0.8534031413612565,0.7985476062399139,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,22,0.4862373811858041,0.5669689178466797,0.8483055406132329,0.7958115183246073,0.766003227541689,0.000125,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,23,0.483748170591536,0.5584990382194519,0.8480365788058096,0.8272251308900523,0.763986013986014,6.25e-05,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,24,0.5010767181714376,0.5583815972010294,0.8415814954276493,0.8324607329842932,0.7669445938676708,6.25e-05,point_robust_xyzI_512_seed42
point_robust_xyzI_512,42,25,0.48819354460352943,0.5612708926200867,0.8483055406132329,0.8115183246073299,0.7748789671866595,6.25e-05,point_robust_xyzI_512_seed42
voxel_clean,52,1,0.6537559429804484,1.0927464067935944,0.7894029047875202,0.8848167539267016,0.5,0.001,voxel_clean_seed52
voxel_clean,52,2,0.5813062233584267,0.6347912152608236,0.8068854222700377,0.8900523560209425,0.5622646584185046,0.001,voxel_clean_seed52
voxel_clean,52,3,0.5486595119748797,1.0549121797084808,0.7033351264120495,0.8848167539267016,0.5,0.001,voxel_clean_seed52
voxel_clean,52,4,0.4794280543213799,0.7870302001635233,0.8649811726734805,0.5497382198952879,0.7257934373318988,0.001,voxel_clean_seed52
voxel_clean,52,5,0.42640037479854764,0.7196184496084849,0.741796664873588,0.8900523560209425,0.5820333512641205,0.001,voxel_clean_seed52
voxel_clean,52,6,0.41283313575245084,0.8603616952896118,0.57235072619688,0.8586387434554974,0.5642818719741797,0.001,voxel_clean_seed52
voxel_clean,52,7,0.37799219645204996,1.046042948961258,0.7248520710059171,0.8900523560209425,0.5227272727272727,0.0005,voxel_clean_seed52
voxel_clean,52,8,0.3085372923385529,1.2054433623949687,0.85771920387305,0.47643979057591623,0.6646046261430877,0.0005,voxel_clean_seed52
voxel_clean,52,9,0.25855561026505064,0.8502874473730723,0.8333781603012371,0.6544502617801047,0.7454276492738031,0.0005,voxel_clean_seed52
voxel_clean,52,10,0.26177247649147395,1.8622377514839172,0.8873050026896181,0.33507853403141363,0.6044916621839699,0.0005,voxel_clean_seed52
voxel_clean,52,11,0.1950946705681937,0.5200812021891276,0.892684238838085,0.9109947643979057,0.7520172135556751,0.0005,voxel_clean_seed52
voxel_clean,52,12,0.18515177567799887,1.1430431207021077,0.5677783754706831,0.8900523560209425,0.5227272727272727,0.0005,voxel_clean_seed52
voxel_clean,52,13,0.19324958324432373,1.383513828118642,0.4488972565895643,0.8848167539267016,0.5,0.0005,voxel_clean_seed52
voxel_clean,52,14,0.19367352553776332,0.6685884793599447,0.9182356105433028,0.743455497382199,0.8154922001075847,0.0005,voxel_clean_seed52
voxel_clean,52,15,0.18250144237563723,1.654980371395747,0.3735879505110274,0.8848167539267016,0.5,0.0005,voxel_clean_seed52
voxel_clean,52,16,0.16660769851434798,0.506095270315806,0.9109736417428725,0.9214659685863874,0.7381656804733727,0.0005,voxel_clean_seed52
voxel_clean,52,17,0.16118766154561723,0.4594927926858266,0.9045185583647123,0.9109947643979057,0.8310919849381389,0.00025,voxel_clean_seed52
voxel_clean,52,18,0.15803407913162595,2.067476491133372,0.911242603550296,0.4397905759162304,0.6636632598171059,0.00025,voxel_clean_seed52
voxel_clean,52,19,0.15546769968100957,0.5339705844720205,0.9133942980096826,0.9214659685863874,0.698628294782141,0.00025,voxel_clean_seed52
voxel_clean,52,20,0.15821340467248643,1.2391168276468914,0.9193114577729963,0.5759162303664922,0.7405863367401829,0.00025,voxel_clean_seed52
voxel_clean,52,21,0.15622318997269585,0.7668817142645518,0.807154384077461,0.900523560209424,0.5681818181818181,0.00025,voxel_clean_seed52
voxel_clean,52,22,0.15719861892007647,0.45582876602808636,0.9080150618612157,0.9267015706806283,0.8201990317374932,0.00025,voxel_clean_seed52
voxel_clean,52,23,0.15391366183757782,0.4535684684912364,0.9101667563206024,0.8900523560209425,0.8390263582571275,0.000125,voxel_clean_seed52
voxel_clean,52,24,0.1587937804205077,0.5421743790308634,0.887305002689618,0.9162303664921466,0.6956697149004841,0.000125,voxel_clean_seed52
voxel_clean,52,25,0.15763937823829197,0.45365287860234577,0.9042495965572889,0.93717277486911,0.8458848843464228,0.000125,voxel_clean_seed52
voxel_robust,52,1,0.6658868136860076,0.8300125201543173,0.8028509951586875,0.8848167539267016,0.5,0.001,voxel_robust_seed52
voxel_robust,52,2,0.5869333502792177,0.5769411226113638,0.8133405056481979,0.8900523560209425,0.6215707369553523,0.001,voxel_robust_seed52
voxel_robust,52,3,0.5628727348077864,1.0412974456946056,0.6498117267348036,0.8848167539267016,0.5,0.001,voxel_robust_seed52
voxel_robust,52,4,0.5198817224729628,0.6997977495193481,0.6371705217859064,0.7172774869109948,0.5041689080150619,0.001,voxel_robust_seed52
voxel_robust,52,5,0.542235138870421,1.3272738754749298,0.8456159225389994,0.28272251308900526,0.5749058633674018,0.001,voxel_robust_seed52
voxel_robust,52,6,0.537285369066965,1.02101864417394,0.4725658956428187,0.8848167539267016,0.5,0.001,voxel_robust_seed52
voxel_robust,52,7,0.5039748137905484,0.99873615304629,0.607315761161915,0.8848167539267016,0.5,0.001,voxel_robust_seed52
voxel_robust,52,8,0.49215222114608403,2.1557628313700357,0.8660570199031737,0.20418848167539266,0.5305271651425498,0.001,voxel_robust_seed52
voxel_robust,52,9,0.4934785025460379,0.5139137705167135,0.8754706831629908,0.8429319371727748,0.8123991393222163,0.001,voxel_robust_seed52
voxel_robust,52,10,0.4615572463898432,0.7290260891119639,0.9055944055944056,0.5863874345549738,0.7465034965034965,0.001,voxel_robust_seed52
voxel_robust,52,11,0.4528050564584278,1.034576545159022,0.8891877353415816,0.5078534031413613,0.7021247982786445,0.001,voxel_robust_seed52
voxel_robust,52,12,0.43948193816911607,0.5422341326872507,0.9069392146315224,0.7853403141361257,0.8589295320064552,0.001,voxel_robust_seed52
voxel_robust,52,13,0.46620174816676546,0.5265409747759501,0.8784292630446476,0.8743455497382199,0.6917697686928456,0.001,voxel_robust_seed52
voxel_robust,52,14,0.4672097223145621,0.8406645556290945,0.9090909090909092,0.518324607329843,0.7080419580419581,0.001,voxel_robust_seed52
voxel_robust,52,15,0.40131483049619765,1.785922884941101,0.371705217859064,0.8848167539267016,0.5,0.001,voxel_robust_seed52
voxel_robust,52,16,0.4156848859219324,0.5924631059169769,0.9319526627218936,0.7382198952879581,0.8323023130715439,0.001,voxel_robust_seed52
voxel_robust,52,17,0.38067555569467093,0.57443239291509,0.8493813878429263,0.9109947643979057,0.6531737493275955,0.001,voxel_robust_seed52
voxel_robust,52,18,0.37297698855400085,1.6279959678649902,0.9271113501882733,0.35602094240837695,0.616325981710597,0.001,voxel_robust_seed52
voxel_robust,52,19,0.38115752594811575,0.8069421549638113,0.9217321140398063,0.7068062827225131,0.814550833781603,0.0005,voxel_robust_seed52
voxel_robust,52,20,0.3475553052765982,0.42582932114601135,0.9507799892415277,0.8848167539267016,0.8953738569123184,0.0005,voxel_robust_seed52
voxel_robust,52,21,0.34106362362702686,0.9866845508416494,0.9448628294782141,0.5654450261780105,0.7346691769768693,0.0005,voxel_robust_seed52
